Year,Continent,TotalCases 
2021,Asia,57019
2021,Asia,57144
2021,Asia,57160
2021,Asia,57242
2021,Asia,57364
2021,Asia,57492
2021,Asia,57534
2021,Asia,57612
2021,Asia,57721
2021,Asia,57793
2021,Asia,57898
2021,Asia,58037
2021,Asia,58214
2021,Asia,58312
2021,Asia,58542
2021,Asia,58730
2021,Asia,58843
2021,Asia,59015
2021,Asia,59225
2021,Asia,59370
2021,Asia,59576
2021,Asia,59745
2021,Asia,59939
2021,Asia,60122
2021,Asia,60300
2021,Asia,60563
2021,Asia,60797
2021,Asia,61162
2021,Asia,61455
2021,Asia,61755
2021,Asia,61842
2021,Asia,62063
2021,Asia,62403
2021,Asia,62718
2021,Asia,63045
2021,Asia,63355
2021,Asia,63412
2021,Asia,63484
2021,Asia,63598
2021,Asia,63819
2021,Asia,64122
2021,Asia,64575
2021,Asia,65080
2021,Asia,65486
2021,Asia,65728
2021,Asia,66275
2021,Asia,66903
2021,Asia,67743
2021,Asia,68366
2021,Asia,69130
2021,Asia,70111
2021,Asia,70761
2021,Asia,71838
2021,Asia,72977
2021,Asia,74026
2021,Asia,75119
2021,Asia,76628
2021,Asia,77963
2021,Asia,79224
2021,Asia,80841
2021,Asia,82326
2021,Asia,84050
2021,Asia,85892
2021,Asia,87716
2021,Asia,88740
2021,Asia,89861
2021,Asia,91458
2021,Asia,93272
2021,Asia,93288
2021,Asia,96531
2021,Asia,98734
2021,Asia,100521
2021,Asia,101906
2021,Asia,103902
2021,Asia,105749
2021,Asia,107957
2021,Asia,109532
2021,Asia,111592
2021,Asia,113124
2021,Asia,114220
2021,Asia,115751
2021,Asia,117158
2021,Asia,118659
2021,Asia,120216
2021,Asia,122156
2021,Asia,123485
2021,Asia,124748
2021,Asia,125937
2021,Asia,127464
2021,Asia,129021
2021,Asia,130113
2021,Asia,131586
2021,Asia,132777
2021,Asia,133578
2021,Asia,134653
2021,Asia,135889
2021,Asia,136643
2021,Asia,137853
2021,Asia,139051
2021,Asia,140224
2021,Asia,140602
2021,Asia,141499
2021,Asia,142414
2021,Asia,142762
2021,Asia,143183
2021,Asia,143439
2021,Asia,143666
2021,Asia,143871
2021,Asia,144285
2021,Asia,145008
2021,Asia,145552
2021,Asia,145996
2021,Asia,146523
2021,Asia,147154
2021,Asia,147501
2021,Asia,147985
2021,Asia,148572
2021,Asia,148933
2021,Asia,149361
2021,Asia,149810
2021,Asia,150240
2021,Asia,150458
2021,Asia,150778
2021,Asia,151013
2021,Asia,151291
2021,Asia,151563
2021,Asia,151770
2021,Asia,151941
2021,Asia,152033
2021,Asia,152142
2021,Asia,152243
2021,Asia,152363
2021,Asia,152411
2021,Asia,152448
2021,Asia,152497
2021,Asia,152511
2021,Asia,152583
2021,Asia,152660
2021,Asia,152722
2021,Asia,152822
2021,Asia,152960
2021,Asia,153007
2021,Asia,153033
2021,Asia,153148
2021,Asia,153220
2021,Asia,153260
2021,Asia,153306
2021,Asia,153375
2021,Asia,153395
2021,Asia,153423
2021,Asia,153534
2021,Asia,153626
2021,Asia,153736
2021,Asia,153840
2021,Asia,153962
2021,Asia,153982
2021,Asia,153990
2021,Asia,154094
2021,Asia,154180
